ticker,et,ts,spot,day_hi,day_lo,range_sofar,pos_in_range,or_hi,or_lo,prior_close,prior_high,prior_low,king,king_sign,king_side,king_share
SPXW,09:30,2026-07-07T13:30:00.000Z,7537.43,7537.43,7537.43,0.00,0.5000,7537.43,7537.43,7538.34,7551.08,7483.24,7550,barney,above,0.0923
SPXW,09:31,2026-07-07T13:31:00.000Z,7530.28,7537.43,7530.28,7.15,0.0000,7537.43,7530.28,7538.34,7551.08,7483.24,7500,barney,below,0.0704
SPXW,09:32,2026-07-07T13:32:00.000Z,7532.68,7537.43,7530.28,7.15,0.3357,7537.43,7530.28,7538.34,7551.08,7483.24,7520,pika,below,0.0818
SPXW,09:33,2026-07-07T13:33:00.000Z,7530.07,7537.43,7530.07,7.36,0.0000,7537.43,7530.07,7538.34,7551.08,7483.24,7520,pika,below,0.0814
SPXW,09:34,2026-07-07T13:34:00.000Z,7525.98,7537.43,7525.98,11.45,0.0000,7537.43,7525.98,7538.34,7551.08,7483.24,7520,pika,below,0.0679
SPXW,09:35,2026-07-07T13:35:00.000Z,7520.15,7537.43,7520.15,17.28,0.0000,7537.43,7520.15,7538.34,7551.08,7483.24,7520,pika,at,0.0897
SPXW,09:36,2026-07-07T13:36:00.000Z,7519.68,7537.43,7519.68,17.75,0.0000,7537.43,7519.68,7538.34,7551.08,7483.24,7520,pika,at,0.1052
SPXW,09:37,2026-07-07T13:37:00.000Z,7521.86,7537.43,7519.68,17.75,0.1228,7537.43,7519.68,7538.34,7551.08,7483.24,7520,pika,at,0.1045
SPXW,09:38,2026-07-07T13:38:00.000Z,7522.34,7537.43,7519.68,17.75,0.1499,7537.43,7519.68,7538.34,7551.08,7483.24,7520,pika,at,0.12
SPXW,09:39,2026-07-07T13:39:00.000Z,7517.29,7537.43,7517.29,20.14,0.0000,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1216
SPXW,09:40,2026-07-07T13:40:00.000Z,7522.27,7537.43,7517.29,20.14,0.2473,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1314
SPXW,09:41,2026-07-07T13:41:00.000Z,7525.24,7537.43,7517.29,20.14,0.3947,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,below,0.1194
SPXW,09:42,2026-07-07T13:42:00.000Z,7522.67,7537.43,7517.29,20.14,0.2671,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1195
SPXW,09:43,2026-07-07T13:43:00.000Z,7523.33,7537.43,7517.29,20.14,0.2999,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1139
SPXW,09:44,2026-07-07T13:44:00.000Z,7524.99,7537.43,7517.29,20.14,0.3823,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1185
SPXW,09:45,2026-07-07T13:45:00.000Z,7528.26,7537.43,7517.29,20.14,0.5447,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,below,0.1184
SPXW,09:46,2026-07-07T13:46:00.000Z,7525.45,7537.43,7517.29,20.14,0.4052,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,below,0.1187
SPXW,09:47,2026-07-07T13:47:00.000Z,7522.76,7537.43,7517.29,20.14,0.2716,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1235
SPXW,09:48,2026-07-07T13:48:00.000Z,7522.92,7537.43,7517.29,20.14,0.2795,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1216
SPXW,09:49,2026-07-07T13:49:00.000Z,7526.10,7537.43,7517.29,20.14,0.4374,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,below,0.127
SPXW,09:50,2026-07-07T13:50:00.000Z,7523.32,7537.43,7517.29,20.14,0.2994,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1195
SPXW,09:51,2026-07-07T13:51:00.000Z,7524.06,7537.43,7517.29,20.14,0.3361,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1208
SPXW,09:52,2026-07-07T13:52:00.000Z,7521.16,7537.43,7517.29,20.14,0.1922,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1203
SPXW,09:53,2026-07-07T13:53:00.000Z,7520.39,7537.43,7517.29,20.14,0.1539,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1171
SPXW,09:54,2026-07-07T13:54:00.000Z,7517.47,7537.43,7517.29,20.14,0.0089,7537.43,7517.29,7538.34,7551.08,7483.24,7520,pika,at,0.1229
SPXW,09:55,2026-07-07T13:55:00.000Z,7515.84,7537.43,7515.84,21.59,0.0000,7537.43,7515.84,7538.34,7551.08,7483.24,7520,pika,at,0.1322
SPXW,09:56,2026-07-07T13:56:00.000Z,7513.15,7537.43,7513.15,24.28,0.0000,7537.43,7513.15,7538.34,7551.08,7483.24,7520,pika,above,0.1291
SPXW,09:57,2026-07-07T13:57:00.000Z,7513.39,7537.43,7513.15,24.28,0.0099,7537.43,7513.15,7538.34,7551.08,7483.24,7520,pika,above,0.1214
SPXW,09:58,2026-07-07T13:58:00.000Z,7512.17,7537.43,7512.17,25.26,0.0000,7537.43,7512.17,7538.34,7551.08,7483.24,7520,pika,above,0.1002
SPXW,09:59,2026-07-07T13:59:00.000Z,7509.41,7537.43,7509.41,28.02,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,above,0.1001
SPXW,10:00,2026-07-07T14:00:00.000Z,7514.93,7537.43,7509.41,28.02,0.1970,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,above,0.0879
SPXW,10:01,2026-07-07T14:01:00.000Z,7515.18,7537.43,7509.41,28.02,0.2059,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,at,0.0887
SPXW,10:02,2026-07-07T14:02:00.000Z,7514.18,7537.43,7509.41,28.02,0.1702,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,above,0.0933
SPXW,10:03,2026-07-07T14:03:00.000Z,7515.58,7537.43,7509.41,28.02,0.2202,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,at,0.0907
SPXW,10:04,2026-07-07T14:04:00.000Z,7511.93,7537.43,7509.41,28.02,0.0899,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,above,0.089
SPXW,10:05,2026-07-07T14:05:00.000Z,7511.60,7537.43,7509.41,28.02,0.0782,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,above,0.0912
SPXW,10:06,2026-07-07T14:06:00.000Z,7511.91,7537.43,7509.41,28.02,0.0892,7537.43,7509.41,7538.34,7551.08,7483.24,7520,pika,above,0.0821
SPXW,10:07,2026-07-07T14:07:00.000Z,7515.23,7537.43,7509.41,28.02,0.2077,7537.43,7509.41,7538.34,7551.08,7483.24,7510,pika,below,0.0899
SPXW,10:08,2026-07-07T14:08:00.000Z,7511.06,7537.43,7509.41,28.02,0.0589,7537.43,7509.41,7538.34,7551.08,7483.24,7510,pika,at,0.1027
SPXW,10:09,2026-07-07T14:09:00.000Z,7508.61,7537.43,7508.61,28.82,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7510,pika,at,0.104
SPXW,10:10,2026-07-07T14:10:00.000Z,7508.67,7537.43,7508.61,28.82,0.0021,7537.43,7509.41,7538.34,7551.08,7483.24,7510,pika,at,0.1064
SPXW,10:11,2026-07-07T14:11:00.000Z,7505.40,7537.43,7505.40,32.03,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7510,pika,at,0.0994
SPXW,10:12,2026-07-07T14:12:00.000Z,7502.94,7537.43,7502.94,34.49,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0988
SPXW,10:13,2026-07-07T14:13:00.000Z,7501.23,7537.43,7501.23,36.20,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0959
SPXW,10:14,2026-07-07T14:14:00.000Z,7502.28,7537.43,7501.23,36.20,0.0290,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0916
SPXW,10:15,2026-07-07T14:15:00.000Z,7496.62,7537.43,7496.62,40.81,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0975
SPXW,10:16,2026-07-07T14:16:00.000Z,7495.46,7537.43,7495.46,41.97,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.096
SPXW,10:17,2026-07-07T14:17:00.000Z,7495.67,7537.43,7495.46,41.97,0.0050,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0976
SPXW,10:18,2026-07-07T14:18:00.000Z,7494.57,7537.43,7494.57,42.86,0.0000,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0996
SPXW,10:19,2026-07-07T14:19:00.000Z,7497.97,7537.43,7494.57,42.86,0.0793,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0912
SPXW,10:20,2026-07-07T14:20:00.000Z,7500.98,7537.43,7494.57,42.86,0.1496,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0837
SPXW,10:21,2026-07-07T14:21:00.000Z,7498.78,7537.43,7494.57,42.86,0.0982,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0914
SPXW,10:22,2026-07-07T14:22:00.000Z,7498.49,7537.43,7494.57,42.86,0.0915,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0909
SPXW,10:23,2026-07-07T14:23:00.000Z,7496.94,7537.43,7494.57,42.86,0.0553,7537.43,7509.41,7538.34,7551.08,7483.24,7460,pika,below,0.0955
