day,ticker,hr,wallK,wallSig,wall_growth,nextSig,next_growth,handoff_precursor,fuel_ratio,above_prior_close,outcome,fwd_bps
2026-04-10,SPY,10.33,683,0.13536865140965004,0.0522011716770103,0.013769739543818979,0.004751694902314687,False,0.15799966277247024,,REJECTED,-16.584478102618228
2026-04-10,SPY,10.83,683,0.13395280838833662,-0.035887757386650204,0.004931813179010496,0.004931813179010496,False,1.0519308612611493,,REJECTED,-12.047130726059066
2026-04-10,SPY,11.33,683,0.12542266425420553,-0.0016022509381233285,0.004549704759154483,-0.0006837149904555008,False,0.3834320340589073,,REJECTED,-34.48022889002875
2026-04-10,SPY,11.92,680,0.1221237354920708,0.03192059610161205,0.07227433356693104,0.0027058319346026927,True,1.8045086589737702,,REJECTED,-13.68190310858817
2026-04-10,SPY,12.5,680,0.17327710378139285,0.01627118323879123,0.030288876393978925,-0.015086861888515608,False,0.9776486413534194,,CHOP,-1.6188373804269853
2026-04-10,SPY,13.08,679,0.30143983052529666,0.036506797497516896,0.08873215867844698,-0.019488611490071167,False,0.4043299922272239,,CHOP,8.397418898612953
2026-04-10,SPY,13.58,679,0.2882457758411992,0.012341841420950905,0.13946676607158898,0.02011809576841947,True,0.3196958892421488,,CHOP,11.196063699711328
2026-04-10,SPY,14.08,680,0.15291121297426702,0.012764832945812571,0.035155438547159086,0.0012587706351556288,False,0.32150751561642765,,CHOP,4.270357826534584
2026-04-10,QQQ,9.75,615,0.25100083842371995,0.04499074786424656,0.022371160067454137,0.0008809202395281095,False,1.2545560113116447,,REJECTED,17.81045751634039
2026-04-10,QQQ,10.25,615,0.21414697852786033,-0.038413486128907964,0.0283322059163326,-0.007758795217301655,False,3.118125520607853,,REJECTED,-5.392509314334938
2026-04-10,QQQ,10.75,615,0.19281165583369764,-0.04082211636027705,0.04976221532083956,0.007828728547557923,True,1.0110562689562266,,REJECTED,-12.254101039147768
2026-04-10,QQQ,11.25,615,0.28603571281886775,0.04061215974733287,0.05944693475812887,0.00449049819337486,True,1.430948962586231,,REJECTED,-54.315027157514244
2026-04-10,QQQ,11.75,613,0.14731525212381041,-0.02242868423859984,0.17982986157391798,-0.05136207339881277,False,0.653313974217545,,REJECTED,-24.688128443666777
2026-04-10,QQQ,12.42,613,0.12863864433788544,0.0331633690984003,0.13297295644855445,0.011566329301502407,True,1.488099461854764,,REJECTED,-7.852118436118182
2026-04-10,QQQ,12.92,613,0.12318243885985576,-0.0005978270850739847,0.01667684518982403,0.012712531891678692,False,0.09205074867571231,,REJECTED,4.258594991236973
2026-04-10,QQQ,13.92,613,0.12840993386202249,0.03231521985923734,0.014596668190505053,0.0023666295363038055,False,0.10539239273086236,,REJECTED,7.530860155199939
2026-04-10,SPXW,10.58,6855,0.1352030049487138,0.1219181916165983,0.011533481775690767,-0.0068791995523583595,False,17.883384132552546,,REJECTED,-33.51278954494555
2026-04-10,SPXW,12.83,6830,0.18848759336178122,0.1058535818242529,0.00604281503688264,0.00604281503688264,False,2.1287191763120683,,REJECTED,4.357758791447267
2026-04-10,SPXW,13.33,6830,0.179077113326912,0.003326366901074268,0.020264640491498905,0.0005197697572141627,False,2.3986979268677096,,REJECTED,2.05464474458511
2026-04-10,SPXW,13.83,6830,0.18463039861437833,0.02908078637321454,0.053171222483964754,0.008241417134662463,True,3.7683231071971215,,REJECTED,9.389740241639897
2026-04-10,SPXW,14.33,6830,0.26213146468276116,0.03311910865403958,0.10281824596503475,0.03898437043887806,True,1.8150560195218488,,REJECTED,-9.151707145371029
2026-04-13,SPY,9.75,677,0.5006035859282253,0.1452052620380107,0.13943224938079313,0.07239324600123394,True,1.671425515955838,False,CHOP,45.50020681912252
2026-04-13,SPY,10.25,680,0.16268697706277171,-0.026642147695122576,0.03236404130747013,0.016675921500792203,False,0.07038155055708534,False,CHOP,6.0374913487161965
2026-04-13,SPY,10.75,680,0.18381684264264125,0.02007644209694817,0.024001501540575405,-0.0110782545938471,False,0.08655515425246192,True,CHOP,-0.29414792699221703
2026-04-13,SPY,11.25,680,0.14788003651402098,-0.043251012583672144,0.021350764995390216,0.0010610584873608775,False,0.24174135643320663,True,CHOP,23.38235294117694
2026-04-13,SPY,11.75,680,0.15400902715071316,0.03348228818320337,0.03476101410871837,0.008345239195276587,False,0.16666255418519774,True,ROLLED,41.353936718174324
2026-04-13,SPY,12.25,680,0.2054581989153795,0.045240960720212914,0.06232350999300855,0.014557875957933473,True,0.1535247864524288,True,ROLLED,32.945536909296955
2026-04-13,SPY,12.83,685,0.18816508211375016,0.08815568871502284,0.00229582719588629,0.00032756962745749026,False,0.6218853438702041,True,REJECTED,6.157545191982861
2026-04-13,SPY,13.33,685,0.2312165006109215,0.027783896082256815,0.0002312186720206979,-0.00046222981635282907,False,0.7987352366659134,True,REJECTED,7.764771378759287
2026-04-13,SPY,13.83,685,0.21707220717480027,0.003324627714336198,0.0005069805490071509,-0.00012445471074757502,False,0.5150682579478363,True,REJECTED,20.5263543728479
2026-04-13,SPY,14.33,685,0.2616350299124072,0.019551104296626126,0.0005373933367223357,0.0003148517912158788,False,1.3389677487995826,True,REJECTED,22.563771959384678
2026-04-13,QQQ,9.75,609,0.16067469412214613,0.09823010419135635,0.04059550002565717,0.03166573512560261,True,1.022001663565633,False,ROLLED,58.98590253360113
2026-04-13,QQQ,10.25,613,0.1360944044561653,-0.010186408430935628,0.061706150014640394,-0.01160064188820651,False,2.100130518159609,False,REJECTED,16.202415632876324
2026-04-13,QQQ,10.75,613,0.16868560652117004,0.022553567303831845,0.09592934992424958,0.025110680389635057,True,3.8854194712520242,True,REJECTED,1.7981201471191441
2026-04-13,QQQ,11.25,613,0.21431718055276758,0.06586990776486157,0.06749673427901501,-0.0383695279675699,False,0.10976083265690073,True,CHOP,20.091145195276425
2026-04-13,QQQ,11.75,613,0.22941482019768197,-0.008206188770969958,0.08927482125694704,0.029543219124398813,True,0.10720289166716782,True,CHOP,35.78372902403645
2026-04-13,QQQ,12.25,613,0.29138987947590533,0.047409497299060605,0.04636957688558998,-0.024051099375269745,False,4.059337100906272,True,CHOP,41.51276435785905
2026-04-13,QQQ,12.75,615,0.14564065829262465,-0.06492249812112683,0.004588089200080745,0.004588089200080745,False,0.5124989388203915,True,REJECTED,13.856285863326633
2026-04-13,QQQ,13.25,615,0.12547410849416799,0.010725980367212742,0.027995652414724112,0.013798900282067416,False,0.17694492647178503,True,CHOP,4.3959622272872325
2026-04-13,QQQ,14.33,615,0.1294664444675959,0.03196878591993395,0.03922076601633729,-0.010614725417987525,False,0.03116147404630972,True,CHOP,23.936300131894342
2026-04-13,SPXW,11.0,6860,0.14534314359866812,0.025927354994612795,0.01198293789685484,0.0034450830453818283,False,0.45378254624061615,True,REJECTED,12.695298200401318
2026-04-13,SPXW,12.5,6860,0.14909747156268013,0.07891009191455299,0.01305014945581079,0.005231571174003677,False,0.5169485406152347,True,REJECTED,10.690307211057508
2026-04-13,SPXW,13.0,6860,0.26837095077841905,0.07469107477094475,0.01494652910268263,0.01494652910268263,False,0.6461979959758452,True,REJECTED,0.4381442546133266
2026-04-13,SPXW,13.5,6860,0.34488435432185166,0.025837262328894717,0.032689878489904546,0.010286547264312534,False,0.7066505297091387,True,CHOP,11.724407793299633
2026-04-13,SPXW,14.0,6860,0.35765546830116374,0.026760322231753675,0.04619904232089785,0.002910705465778693,True,0.5916477342273154,True,CHOP,24.425589603347497
2026-04-13,SPXW,14.5,6860,0.3386325877250966,-0.03296760699905371,0.04545650881202277,-0.006381228056975982,False,0.8582245403147679,True,ROLLED,56.76640340218696
2026-04-14,SPY,9.75,690,0.1320905856772182,0.005034975503301342,7.218291767538417e-06,-7.515627147904824e-05,False,16.785941886384382,True,CHOP,16.670532297343982
2026-04-14,QQQ,10.0,622,0.12410272895665754,0.0400933641556354,0.07283139521121701,0.004281758387006923,True,0.5436336546958925,True,ROLLED,43.58665058303235
2026-04-14,QQQ,10.92,626,0.12437063329920417,0.03263175668064354,0.007819856656783572,-0.0018313647675953556,False,0.8123490427600382,True,ROLLED,38.6199381440008
2026-04-14,QQQ,12.83,627,0.13681450018655772,0.0565727955500788,0.013087301705985018,0.003991323413057949,False,0.5427282348357629,True,REJECTED,-9.252169474222194
2026-04-14,SPXW,9.92,6940,0.12186471524931794,0.010536504625650187,0.07674689858409976,0.06545887823668564,True,1.6134171706329428,True,ROLLED,33.14693600358419
2026-04-14,SPXW,10.42,6960,0.38144497232983365,0.03383386693945012,0.05265525562976931,0.03972735586874375,True,4.18822251321066,True,CHOP,36.034476540805024
2026-04-14,SPXW,10.92,6960,0.416304726188303,0.06427453775859882,0.007574572634231974,0.00021439543773786075,False,24.168325299673484,True,CHOP,26.495810232943295
2026-04-14,SPXW,11.42,6960,0.4079150352977564,0.035042706206194485,0.010251604093048981,0.00016987956751756197,False,7.640761628212462,True,CHOP,17.656445322625178
2026-04-14,SPXW,11.92,6960,0.31347325026009903,0.004011372536493085,0.07009371118021349,0.0011945514622397763,True,0.2455092367570793,True,CHOP,8.782230859121492
2026-04-14,SPXW,12.42,6960,0.3663740862700893,0.002527626499124136,0.07561009257511049,0.0062984332454102815,True,0.4398214625251865,True,CHOP,3.3624989402382566
2026-04-14,SPXW,12.92,6960,0.42132053199367697,0.02966495643202932,0.0786669178367291,0.0022861607942755713,True,0.6215060488125277,True,REJECTED,-12.95303267729454
2026-04-14,SPXW,13.42,6965,0.14359099164954792,0.07282846195809342,0.02760290061668082,-0.009214721590572014,False,1.4533838419364782,True,REJECTED,-18.59739722604356
2026-04-14,SPXW,13.92,6965,0.15947220733176515,0.005920500642451643,0.02330471849885152,-0.0005651998951571383,False,0.1937683196002087,True,CHOP,4.726026905314214
2026-04-14,SPXW,14.42,6960,0.37935782564218107,-0.08989930266129598,0.0812981513391548,-0.05998219249826528,False,9.075252998761902,True,CHOP,17.720159668570382
2026-04-15,QQQ,9.75,629,0.14698228180125733,0.09228692414148844,0.08725041514490144,0.014338519120397311,True,0.8246935699193754,False,CHOP,73.84184477298385
2026-04-15,QQQ,12.33,637,0.1277623087595133,0.03358751917287478,0.007352842630154152,0.0013345885759076474,False,0.9415088821541616,True,REJECTED,-16.55524722502451
2026-04-15,QQQ,13.42,634,0.12249873849808929,0.00978918407270983,0.05977953429003078,0.0021446710280747933,True,0.7072037869371199,True,ROLLED,46.30507617422188
2026-04-15,SPXW,10.25,7000,0.15935649541467373,0.05505160505056782,0.05612103121464725,0.043748166881291455,True,0.5555753418914242,True,CHOP,22.28313327204097
2026-04-15,SPXW,10.75,7000,0.14956029787935846,0.007330183509851762,0.04324197100370717,0.0007202606879011392,True,0.9522037913364548,True,CHOP,9.368706517759323
2026-04-15,SPXW,14.25,7010,0.15252465992760816,0.07648048432024196,0.11952755526678521,0.08296064999696581,True,1.3263094371223632,True,ROLLED,16.282833241525154
2026-04-16,SPY,14.42,700,0.2687290640439817,0.02455939321279335,0.06816572152993464,0.06816572152993464,True,1.5676990589337183,True,CHOP,25.576909337714703
2026-04-16,QQQ,9.75,640,0.16608621586384598,0.009258462241329701,0.14351319699894177,0.009957071309279308,True,0.1699454546808778,True,CHOP,28.050271100384926
2026-04-16,QQQ,10.25,638,0.18400401912403078,0.015328802389082241,0.012622582910190066,-0.02475616146309115,False,0.06274484228264539,False,ROLLED,53.513700134960736
2026-04-16,QQQ,10.75,641,0.17875942500528266,0.003873215502102373,0.08807650830044231,0.023055041059057743,True,0.13674040477271182,True,CHOP,61.75548589341778
2026-04-16,QQQ,11.25,641,0.18523337397087,0.03783516128315259,0.16871544084228315,0.08255237662846637,True,0.5437174898840376,True,CHOP,10.626162236495613
2026-04-16,QQQ,11.75,641,0.22526987060527545,-0.009813227016367526,0.1549518055301747,0.027237074253357224,True,0.7324481859643718,True,REJECTED,-20.7608135741386
2026-04-16,QQQ,12.5,642,0.13118153874397406,0.05830490318953195,0.03862331896163742,-0.022281854855804244,False,0.8674296128507509,True,REJECTED,-20.122921411411784
2026-04-16,QQQ,13.0,641,0.15796570896861414,-0.040257952546616155,0.12495049236252996,0.0318351814731144,True,0.0,True,REJECTED,-37.499999999999645
2026-04-16,QQQ,13.5,641,0.1988634791034638,0.05313691947870661,0.14118657905909887,0.03757820217754042,True,0.0,True,REJECTED,-15.777552136217933
2026-04-16,QQQ,14.0,641,0.19655384868689252,-0.00575220949650021,0.11441938815093582,-0.014723505250579902,False,0.0,True,REJECTED,-6.564859246290997
