day,ticker,state,dir,K,fireTsMs,exitTsMs,entrySpot,hr,g7_gate,final_sys,occ,entry_atfire,pnl_atfire,confirmed,entry_confirm,pnl_confirm,pnl_nextexp,mfe_pct,mae_pct,t_peak_min,entry_vol,entry_iv,prem_pct,breakeven_bps,f1,f5,f15,onesided15,accel,gex_regime,d_wall_bps,d_flip_bps,pin,vixd15,daytype,trend_day,nfp,fomc,opex,big_open,gex_state,flow_agree5,flow_onesided,flow_extreme,premium_band,flag_afternoon,flag_posgex_noroom,flag_flow_exhausted,flag_flow_against,flag_pin,flag_breakeven,nflags
2026-04-10,QQQ,BEAR_RUG,-1,610,1775827800000,1775828100000,610.05,9.5,False,False,QQQ260410P00610000,0.93,8.999999999999996,False,,,,9.677419354838705,-27.956989247311824,5.0,1070,0.31,0.1524465207769855,15.244652077698552,682164.0,682164.0,682164.0,1.0,,0.573324653668898,164.74059503319327,,False,,flat,False,False,False,False,False,positive,False,True,False,good_0.5-2,False,False,True,True,False,False,2
2026-04-10,SPY,BULL_REVERSE,1,681,1775829600000,1775831100000,680.78,10.0,True,True,SPY260410C00681000,0.92,45.00000000000001,False,,,44.99999999999997,48.913043478260875,-9.782608695652183,25.0,3066,0.1872,0.13513910514409944,13.513910514409941,-1972736.0,705831.0,-881696.0,0.04161351876770187,-531975.0,0.6502503353711162,17.920620464761413,26.14647903874927,True,-0.08000000000000185,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,True,False,False,True,False,2
2026-04-10,SPXW,BULL_REVERSE,1,6835,1775829600000,1775831700000,6832.6,10.0,True,True,SPXW260410C06835000,8.4,419.99999999999994,False,,,252.99999999999977,64.28571428571429,-11.904761904761903,30.0,267,0.1722,0.12294002283171854,12.294002283171853,2539892.0,-5287232.0,3239716.0,0.06696617779276334,-5887651.0,0.7377972994537456,10.830430582793719,120.89102245119041,False,-0.08000000000000185,flat,False,False,False,False,False,positive,False,False,False,bad_2-10,False,True,False,True,False,False,2
2026-04-10,SPY,BEAR_RUG,-1,681,1775829900000,1775851200000,680.54,10.083333333333334,False,False,SPY260410P00681000,1.35,43.99999999999999,True,1.37,41.99999999999999,,88.14814814814814,-52.59259259259259,159.0,1392,0.171,0.1983718811532019,19.83718811532019,463120.0,3911636.0,6534392.0,0.2773523278710568,3377910.0,0.5868496983831378,22.629088664883234,22.629088664883234,True,-0.14999999999999858,flat,False,False,False,False,False,positive,False,False,False,good_0.5-2,False,False,False,True,True,False,2
2026-04-10,QQQ,BEAR_RUG,-1,612,1775830500000,1775835000000,611.96,10.25,False,False,QQQ260410P00612000,1.25,-35.0,True,1.36,-46.00000000000001,,17.599999999999998,-55.199999999999996,27.0,1149,0.2235,0.2042617164520557,20.42617164520557,241005.0,-581365.0,-5302380.0,0.3476060105963068,1065733.5,0.7102291203031126,81.05104908817628,,True,-0.05999999999999872,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,False,False,False,False,True,False,1
2026-04-10,SPXW,BEAR_RUG,-1,6835,1775835000000,1775836500000,6835.83,11.5,False,False,SPXW260410P06835000,9.3,380.9999999999999,True,9.8,330.9999999999999,,105.3763440860215,0.0,25.0,527,0.1611,0.13604785373539133,13.604785373539134,8299725.0,46882993.0,-25840950.0,0.16057992525950415,78634735.0,0.5242510438454604,52.41499569181786,147.50220529182255,False,0.120000000000001,flat,False,False,False,False,False,positive,False,False,False,bad_2-10,False,False,False,True,False,False,1
2026-04-10,SPXW,BEAR_CONTINUE,-1,6815,1775836800000,1775840100000,6816.78,12.0,False,False,SPXW260410P06815000,10.4,-340.00000000000006,True,11.1,-409.99999999999994,,17.307692307692296,-41.34615384615385,44.0,227,0.1926,0.15256470063578406,15.256470063578407,-14474849.0,-10357371.0,115588522.0,0.6882278874029775,-72991220.0,0.5064129027487139,24.615727660273244,134.63834831107906,False,0.509999999999998,flat,False,False,False,False,False,positive,True,True,True,other,False,False,True,False,False,False,1
2026-04-10,SPXW,BEAR_RUG,-1,6820,1775838000000,1775840100000,6821.8,12.333333333333334,False,False,SPXW260410P06820000,10.6,-140.00000000000003,False,,,,42.45283018867924,-21.69811320754716,21.0,533,0.1841,0.1553842094461872,15.538420944618721,-2077351.0,-123820604.0,-131473026.0,0.7236602616841031,-98244528.0,0.4437755935735938,31.956375150253862,141.89803277727313,False,-0.25,flat,False,False,False,False,False,positive,True,True,True,other,False,False,True,False,False,False,1
2026-04-10,SPXW,BEAR_RUG,-1,6815,1775843100000,1775848200000,6815.28,13.75,False,False,SPXW260410P06815000,6.3,-375.0,True,6.6,-405.0,,22.22222222222223,-60.317460317460316,22.0,289,0.1674,0.09243934218403353,9.243934218403352,24934262.0,19523702.0,4050186.0,0.02518896923075488,28311606.5,0.5939621088886022,22.4202087074922,59.102487351949954,True,-0.19000000000000128,flat,False,False,False,False,False,positive,False,False,False,bad_2-10,True,False,False,True,True,False,3
2026-04-10,SPY,BULL_REVERSE,1,679,1775843400000,1775848200000,679.26,13.833333333333334,True,True,SPY260410C00679000,0.96,-6.999999999999995,False,,,-5.000000000000027,8.333333333333341,-39.583333333333336,30.0,2422,0.1839,0.14133027117745783,14.133027117745783,1497797.0,3430.0,3908533.0,0.39130584520998535,-1554799.5,0.22922999974707636,10.894208403262509,3.8276948443893484,True,-0.22000000000000242,flat,False,False,False,False,False,positive,True,False,False,good_0.5-2,True,True,False,False,True,False,3
