timestamp,trading_date,ticker,underlying_symbol,fire_direction,fire_price,fire_source,entry_candidate_time,current_time_bucket,option_contract_candidate,option_symbol,expiry,strike,call_or_put,premium_mid,premium_bid,premium_ask,premium_band,spread_pct,volume,open_interest,gex_state,distance_to_wall_bps,wall_bucket,day_type,trend_or_chop_state,vix_level,vix_change_from_open,flow_5m_direction,flow_5m_net_premium,flow_5m_agreement,flow_tier,flow_exhaustion_flag,confirmation_entry_outcome,confirmation_timestamp,confirmation_price,red_flag_count,red_flags_json,positive_stack_score,policy_flags_eq_0_pass,policy_flags_le_1_pass,policy_full_combined_pass,missing_data,notes_json
2026-07-16T13:30:45.265Z,2026-07-16,SPXW,SPX,bear,7559.57,BEAR_RUG,2026-07-16T13:31:45.265Z,9:30-10,SPXW260716P07560000,SPXW260716P07560000,2026-07-16,7560,put,15.1,15,15.2,other,1.3,,,neutral,26,20-50,,,16.17,0,bearish,-1129919,true,one-sided,false,not_confirmed,2026-07-16T13:31:51.856Z,14.05,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",1,false,true,false,,"{""executed"":false,""note"":""bear_above_session_open ($7559.57 >= $7559.57)"",""unknown_flags"":0}"
2026-07-16T13:30:45.265Z,2026-07-16,SPY,SPY,bear,753.375,BEAR_RUG,2026-07-16T13:31:45.265Z,9:30-10,SPY260716P00753000,SPY260716P00753000,2026-07-16,753,put,1.36,1.35,1.37,good_0.5-2,1.5,,,positive,98,50-100(sweet),,,16.17,0,bearish,-607850,true,one-sided,false,not_confirmed,2026-07-16T13:31:52.758Z,1.3,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":true,""breakeven"":false}",2,false,false,false,,"{""executed"":false,""note"":""bear_above_session_open ($753.38 >= $753.38)"",""unknown_flags"":0}"
2026-07-16T13:30:45.265Z,2026-07-16,QQQ,QQQ,bear,713.2149999999999,BEAR_RUG,2026-07-16T13:31:45.265Z,9:30-10,QQQ260716P00713000,QQQ260716P00713000,2026-07-16,713,put,2.78,2.76,2.8,bad_2-10,1.4,,,negative,31,20-50,,,16.17,0,bearish,-906095,true,one-sided,false,not_confirmed,2026-07-16T13:31:53.314Z,2.6,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":true}",1,false,false,false,,"{""executed"":false,""note"":""bear_above_session_open ($713.21 >= $713.21)"",""unknown_flags"":0}"
2026-07-16T13:42:27.127Z,2026-07-16,SPXW,SPX,bear,7537.19,BEAR_CONTINUE,2026-07-16T13:43:27.127Z,9:30-10,SPXW260716P07535000,SPXW260716P07535000,2026-07-16,7535,put,13.75,13.7,13.8,other,0.7,,,positive,63,50-100(sweet),,,16.39,0,bullish,27543829,false,one-sided,false,not_confirmed,2026-07-16T13:43:37.469Z,13.25,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":true,""pin"":false,""breakeven"":false}",1,false,false,false,,"{""executed"":true,""note"":""ok"",""unknown_flags"":0}"
2026-07-16T13:43:27.126Z,2026-07-16,SPXW,SPX,bull,7538.5,BULL_REVERSE,2026-07-16T13:44:27.126Z,9:30-10,SPXW260716C07540000,SPXW260716C07540000,2026-07-16,7540,call,15.55,15.5,15.6,other,0.6,,,positive,2,<20,,,16.44,0.05,bullish,15145556,true,mixed,false,not_confirmed,2026-07-16T13:44:34.476Z,15.3,1,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":false,""pin"":false,""breakeven"":false}",1,false,true,false,,"{""executed"":false,""note"":{""note"":""bull_tape_gate (SPY_QQQ_SPX_BELOW_PRIOR_CLOSE)"",""execution_status"":""gate_blocked"",""blocked_by"":""bull_tape_gate"",""bull_tape_gate_pass"":false,""bull_tape_gate_reason"":""SPY_QQQ_SPX_BELOW_PRIOR_CLOSE""},""unknown_flags"":0}"
2026-07-16T13:43:45.186Z,2026-07-16,SPXW,SPX,bull,7538.8,BULL_REVERSE,2026-07-16T13:44:45.186Z,9:30-10,SPXW260716C07540000,SPXW260716C07540000,2026-07-16,7540,call,15.649999999999999,15.6,15.7,other,0.6,,,positive,2,<20,,,16.39,0.22,bullish,16273167,true,mixed,false,not_confirmed,2026-07-16T13:44:53.463Z,14.6,1,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":false,""pin"":false,""breakeven"":false}",1,false,true,false,,"{""executed"":false,""note"":{""note"":""bull_tape_gate (SPY_QQQ_SPX_BELOW_PRIOR_CLOSE)"",""execution_status"":""gate_blocked"",""blocked_by"":""bull_tape_gate"",""bull_tape_gate_pass"":false,""bull_tape_gate_reason"":""SPY_QQQ_SPX_BELOW_PRIOR_CLOSE""},""unknown_flags"":0}"
2026-07-16T13:47:27.124Z,2026-07-16,SPXW,SPX,bear,7540.1,BEAR_RUG,2026-07-16T13:48:27.124Z,9:30-10,SPXW260716P07540000,SPXW260716P07540000,2026-07-16,7540,put,14,13.9,14.1,other,1.4,,,positive,0,<20,,,16.41,0.02,bullish,8837835,false,one-sided,false,confirmed,2026-07-16T13:48:34.534Z,19.200000000000003,3,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":true,""flow_against"":true,""pin"":false,""breakeven"":false}",0,false,false,false,,"{""executed"":true,""note"":""ok"",""unknown_flags"":0}"
2026-07-16T19:12:09.061Z,2026-07-16,SPXW,SPX,bear,7521.85,BEAR_RUG,2026-07-16T19:13:09.061Z,15+,SPXW260716P07520000,SPXW260716P07520000,2026-07-16,7520,put,4.75,4.7,4.8,bad_2-10,2.1,,,positive,9,<20,,,16.85,0,bearish,-7325982,true,one-sided,false,confirmed,2026-07-16T19:13:16.314Z,4.85,2,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",0,false,false,false,,"{""executed"":false,""note"":""bear_above_session_open ($7521.85 >= $7521.85)"",""unknown_flags"":0}"
2026-07-16T19:46:09.106Z,2026-07-16,QQQ,QQQ,bull,703.2850000000001,BULL_REVERSE,2026-07-16T19:47:09.106Z,15+,QQQ260716C00703000,QQQ260716C00703000,2026-07-16,703,call,1.05,1.04,1.06,good_0.5-2,1.9,,,positive,53,50-100(sweet),,,17.08,0.23,bearish,-19158403,false,one-sided,false,not_confirmed,2026-07-16T19:47:18.177Z,0.94,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":true,""pin"":false,""breakeven"":false}",2,false,false,false,,"{""executed"":false,""note"":""after_15:15_ET"",""unknown_flags"":0}"
2026-07-16T19:48:09.109Z,2026-07-16,QQQ,QQQ,bear,702.665,BEAR_TRAPDOOR,2026-07-16T19:49:09.109Z,15+,QQQ260716P00703000,QQQ260716P00703000,2026-07-16,703,put,1.01,1,1.02,good_0.5-2,2,,,positive,9,<20,,,17.14,0.29,bearish,-5042696,true,one-sided,false,confirmed,2026-07-16T19:49:18.925Z,1.025,2,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",1,false,false,false,,"{""executed"":false,""note"":""after_15:15_ET"",""unknown_flags"":0}"
