timestamp,trading_date,ticker,underlying_symbol,fire_direction,fire_price,fire_source,entry_candidate_time,current_time_bucket,option_contract_candidate,option_symbol,expiry,strike,call_or_put,premium_mid,premium_bid,premium_ask,premium_band,spread_pct,volume,open_interest,gex_state,distance_to_wall_bps,wall_bucket,day_type,trend_or_chop_state,vix_level,vix_change_from_open,flow_5m_direction,flow_5m_net_premium,flow_5m_agreement,flow_tier,flow_exhaustion_flag,confirmation_entry_outcome,confirmation_timestamp,confirmation_price,red_flag_count,red_flags_json,positive_stack_score,policy_flags_eq_0_pass,policy_flags_le_1_pass,policy_full_combined_pass,missing_data,notes_json
2026-07-10T13:30:11.479Z,2026-07-10,SPXW,SPX,bear,7549.53,BEAR_RUG,2026-07-10T13:31:11.479Z,9:30-10,SPXW260710P07550000,SPXW260710P07550000,2026-07-10,7550,put,16.6,16.5,16.7,other,1.2,,,neutral,66,50-100(sweet),,,15.73,0,bearish,-1577621,true,one-sided,false,not_confirmed,2026-07-10T13:31:18.562Z,14.3,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",2,false,true,false,,"{""executed"":false,""note"":""bear_above_session_open ($7549.53 >= $7549.53)"",""unknown_flags"":0}"
2026-07-10T13:31:11.480Z,2026-07-10,QQQ,QQQ,bull,721.97,BULL_REVERSE,2026-07-10T13:32:11.480Z,9:30-10,QQQ260710C00722000,QQQ260710C00722000,2026-07-10,722,call,2.935,2.93,2.94,bad_2-10,0.3,,,positive,0,<20,,,15.69,-0.04,bullish,749490,true,one-sided,false,not_confirmed,2026-07-10T13:32:18.297Z,2.6900000000000004,4,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":true,""flow_against"":false,""pin"":true,""breakeven"":true}",0,false,false,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
2026-07-10T13:50:11.518Z,2026-07-10,SPY,SPY,bull,753.01,BULL_REVERSE,2026-07-10T13:51:11.518Z,9:30-10,SPY260710C00753000,SPY260710C00753000,2026-07-10,753,call,1.225,1.22,1.23,good_0.5-2,0.8,,,positive,13,<20,,,15.54,-0.19,bullish,1387221,true,mixed,false,not_confirmed,2026-07-10T13:51:21.389Z,1.1949999999999998,2,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":false,""pin"":true,""breakeven"":false}",2,false,false,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
2026-07-10T14:33:11.585Z,2026-07-10,SPY,SPY,bear,748.7049999999999,BEAR_RUG,2026-07-10T14:34:11.585Z,10-11,SPY260710P00749000,SPY260710P00749000,2026-07-10,749,put,1.3450000000000002,1.34,1.35,good_0.5-2,0.7,,,positive,116,>100,,,15.54,-0.19,bearish,-12254974,true,one-sided,false,not_confirmed,2026-07-10T14:34:20.525Z,0.64,1,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":false,""breakeven"":false}",1,false,true,false,,"{""executed"":true,""note"":""ok"",""unknown_flags"":0}"
2026-07-10T14:34:11.585Z,2026-07-10,SPXW,SPX,bull,7522.1,BULL_REVERSE,2026-07-10T14:35:11.585Z,10-11,SPXW260710C07520000,SPXW260710C07520000,2026-07-10,7520,call,25.85,25.7,26,other,1.2,,,positive,44,20-50,,,15.9,0.17,bearish,-29593560,false,mixed,false,confirmed,2026-07-10T14:35:20.002Z,26.95,3,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":false,""flow_against"":true,""pin"":true,""breakeven"":true}",0,false,false,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":false,""bull_tape_gate_reason"":""SPY_QQQ_SPX_BELOW_PRIOR_CLOSE""},""unknown_flags"":0}"
2026-07-10T14:34:11.585Z,2026-07-10,QQQ,QQQ,bear,719.74,BEAR_TRAPDOOR,2026-07-10T14:35:11.585Z,10-11,QQQ260710P00720000,QQQ260710P00720000,2026-07-10,720,put,1.98,1.96,2,good_0.5-2,2,,,positive,10,<20,,,15.9,0.17,bearish,-1476137,true,mixed,false,not_confirmed,2026-07-10T14:35:21.170Z,1.96,2,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":false,""pin"":true,""breakeven"":false}",2,false,false,false,,"{""executed"":true,""note"":""ok"",""unknown_flags"":0}"
2026-07-10T14:35:11.587Z,2026-07-10,SPXW,SPX,bear,7536.31,BEAR_RUG,2026-07-10T14:36:11.587Z,10-11,SPXW260710P07535000,SPXW260710P07535000,2026-07-10,7535,put,13.85,13.7,14,other,2.2,,,positive,48,20-50,,,15.96,0.23,bearish,-18850233,true,one-sided,false,confirmed,2026-07-10T14:36:18.553Z,14.2,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":false,""pin"":true,""breakeven"":false}",0,false,false,false,,"{""executed"":false,""note"":""bear_above_prior_close ($7536.31 >= $7535.48)"",""unknown_flags"":0}"
2026-07-10T14:35:11.587Z,2026-07-10,QQQ,QQQ,bull,721.3,BULL_REVERSE,2026-07-10T14:36:11.587Z,10-11,QQQ260710C00721000,QQQ260710C00721000,2026-07-10,721,call,2.6900000000000004,2.66,2.72,bad_2-10,2.2,,,positive,10,<20,,,15.96,0.23,bearish,-2056472,false,mixed,false,not_confirmed,2026-07-10T14:36:19.623Z,2.685,4,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":true,""pin"":true,""breakeven"":true}",0,false,false,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
2026-07-10T15:07:24.976Z,2026-07-10,SPXW,SPX,bear,7538.16,BEAR_RUG,2026-07-10T15:08:24.976Z,11-12,SPXW260710P07540000,SPXW260710P07540000,2026-07-10,7540,put,12.5,12.4,12.6,other,1.6,,,positive,51,50-100(sweet),,,15.8,0,bullish,12086764,false,one-sided,true,not_confirmed,2026-07-10T15:08:31.450Z,10.55,2,"{""afternoon"":false,""posgex_noroom"":false,""flow_exhausted"":true,""flow_against"":true,""pin"":false,""breakeven"":false}",1,false,false,false,,"{""executed"":false,""note"":""bear_above_session_open ($7538.16 >= $7538.16)"",""unknown_flags"":0}"
2026-07-10T15:25:24.993Z,2026-07-10,SPY,SPY,bull,753.16,BULL_REVERSE,2026-07-10T15:26:24.993Z,11-12,SPY260710C00753000,SPY260710C00753000,2026-07-10,753,call,1.025,1.02,1.03,good_0.5-2,1,,,positive,11,<20,,,15.41,-0.39,bullish,1160686,true,mixed,false,confirmed,2026-07-10T15:26:33.580Z,1.145,2,"{""afternoon"":false,""posgex_noroom"":true,""flow_exhausted"":false,""flow_against"":false,""pin"":true,""breakeven"":false}",2,false,false,false,,"{""executed"":true,""note"":{""note"":""ok"",""execution_status"":""executed"",""bull_tape_gate_pass"":true},""unknown_flags"":0}"
