side,vix_dir,n,optEV,win
BEAR,falling,255,0.07859955723958409,46.27450980392157
BEAR,flat,346,0.002728922548364697,39.30635838150289
BEAR,rising,231,0.004261420111004847,42.42424242424242
BULL,falling,171,0.08276159022980834,49.707602339181285
BULL,flat,225,0.30967922049686264,57.77777777777777
BULL,rising,111,0.1030291712090876,54.054054054054056
