side,vix_lvl,n,optEV,win
BEAR,low,276,0.04103686401180352,45.289855072463766
BEAR,mid,269,-0.10441150494721166,35.687732342007436
BEAR,high,287,0.1349547132648516,45.64459930313589
BULL,low,171,0.17770235319772937,50.29239766081871
BULL,mid,179,0.18370891174088036,54.7486033519553
BULL,high,157,0.20379170029853969,57.961783439490446
