ticker,et,ts,spot,day_hi,day_lo,range_sofar,pos_in_range,or_hi,or_lo,prior_close,prior_high,prior_low,king,king_sign,king_side,king_share
SPXW,09:30,2026-07-14T13:30:00.000Z,7515.34,7515.34,7515.34,0.00,0.5000,7515.34,7515.34,7515.90,7575.39,7506.53,7500,pika,below,0.1501
SPXW,09:31,2026-07-14T13:31:00.000Z,7530.18,7530.18,7515.34,14.84,1.0000,7530.18,7515.34,7515.90,7575.39,7506.53,7575,barney,above,0.11
SPXW,09:32,2026-07-14T13:32:00.000Z,7527.16,7530.18,7515.34,14.84,0.7965,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.1133
SPXW,09:33,2026-07-14T13:33:00.000Z,7526.83,7530.18,7515.34,14.84,0.7743,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.1199
SPXW,09:34,2026-07-14T13:34:00.000Z,7525.93,7530.18,7515.34,14.84,0.7136,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.1178
SPXW,09:35,2026-07-14T13:35:00.000Z,7524.32,7530.18,7515.34,14.84,0.6051,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.1179
SPXW,09:36,2026-07-14T13:36:00.000Z,7522.37,7530.18,7515.34,14.84,0.4737,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.1022
SPXW,09:37,2026-07-14T13:37:00.000Z,7524.68,7530.18,7515.34,14.84,0.6294,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.1039
SPXW,09:38,2026-07-14T13:38:00.000Z,7524.68,7530.18,7515.34,14.84,0.6294,7530.18,7515.34,7515.90,7575.39,7506.53,7550,barney,above,0.0996
SPXW,09:39,2026-07-14T13:39:00.000Z,7531.55,7531.55,7515.34,16.21,1.0000,7531.55,7515.34,7515.90,7575.39,7506.53,7575,barney,above,0.088
SPXW,09:40,2026-07-14T13:40:00.000Z,7538.00,7538.00,7515.34,22.66,1.0000,7538.00,7515.34,7515.90,7575.39,7506.53,7575,barney,above,0.0956
SPXW,09:41,2026-07-14T13:41:00.000Z,7538.00,7538.00,7515.34,22.66,1.0000,7538.00,7515.34,7515.90,7575.39,7506.53,7575,barney,above,0.0861
SPXW,09:42,2026-07-14T13:42:00.000Z,7536.08,7538.00,7515.34,22.66,0.9153,7538.00,7515.34,7515.90,7575.39,7506.53,7575,barney,above,0.0805
SPXW,09:43,2026-07-14T13:43:00.000Z,7539.05,7539.05,7515.34,23.71,1.0000,7539.05,7515.34,7515.90,7575.39,7506.53,7575,barney,above,0.079
SPXW,09:44,2026-07-14T13:44:00.000Z,7535.95,7539.05,7515.34,23.71,0.8693,7539.05,7515.34,7515.90,7575.39,7506.53,7585,pika,above,0.0724
SPXW,09:45,2026-07-14T13:45:00.000Z,7535.95,7539.05,7515.34,23.71,0.8693,7539.05,7515.34,7515.90,7575.39,7506.53,7585,pika,above,0.0863
SPXW,09:46,2026-07-14T13:46:00.000Z,7540.95,7540.95,7515.34,25.61,1.0000,7540.95,7515.34,7515.90,7575.39,7506.53,7585,pika,above,0.1032
