ticker,et,ts,spot,day_hi,day_lo,range_sofar,pos_in_range,or_hi,or_lo,prior_close,prior_high,prior_low,king,king_sign,king_side,king_share
SPXW,09:30,2026-07-09T13:30:00.000Z,7482.71,7482.71,7482.71,0.00,0.5000,7482.71,7482.71,7481.46,7503.85,7423.36,7500,pika,above,0.1071
SPXW,09:31,2026-07-09T13:31:00.000Z,7490.90,7490.90,7482.71,8.19,1.0000,7490.90,7482.71,7481.46,7503.85,7423.36,7500,pika,above,0.1333
SPXW,09:32,2026-07-09T13:32:00.000Z,7486.77,7490.90,7482.71,8.19,0.4957,7490.90,7482.71,7481.46,7503.85,7423.36,7500,pika,above,0.1516
SPXW,09:33,2026-07-09T13:33:00.000Z,7488.64,7490.90,7482.71,8.19,0.7241,7490.90,7482.71,7481.46,7503.85,7423.36,7500,pika,above,0.1468
SPXW,09:34,2026-07-09T13:34:00.000Z,7493.97,7493.97,7482.71,11.26,1.0000,7493.97,7482.71,7481.46,7503.85,7423.36,7500,pika,above,0.1296
SPXW,09:35,2026-07-09T13:35:00.000Z,7500.42,7500.42,7482.71,17.71,1.0000,7500.42,7482.71,7481.46,7503.85,7423.36,7500,pika,at,0.1558
SPXW,09:36,2026-07-09T13:36:00.000Z,7506.06,7506.06,7482.71,23.35,1.0000,7506.06,7482.71,7481.46,7503.85,7423.36,7500,pika,below,0.1412
SPXW,09:37,2026-07-09T13:37:00.000Z,7505.12,7506.06,7482.71,23.35,0.9597,7506.06,7482.71,7481.46,7503.85,7423.36,7500,pika,below,0.1374
SPXW,09:38,2026-07-09T13:38:00.000Z,7506.66,7506.66,7482.71,23.95,1.0000,7506.66,7482.71,7481.46,7503.85,7423.36,7500,pika,below,0.152
SPXW,09:39,2026-07-09T13:39:00.000Z,7507.81,7507.81,7482.71,25.10,1.0000,7507.81,7482.71,7481.46,7503.85,7423.36,7500,pika,below,0.1353
SPXW,09:40,2026-07-09T13:40:00.000Z,7507.46,7507.81,7482.71,25.10,0.9861,7507.81,7482.71,7481.46,7503.85,7423.36,7500,pika,below,0.129
SPXW,09:41,2026-07-09T13:41:00.000Z,7502.56,7507.81,7482.71,25.10,0.7908,7507.81,7482.71,7481.46,7503.85,7423.36,7500,pika,at,0.1308
SPXW,09:42,2026-07-09T13:42:00.000Z,7506.36,7507.81,7482.71,25.10,0.9422,7507.81,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1398
SPXW,09:43,2026-07-09T13:43:00.000Z,7510.05,7510.05,7482.71,27.34,1.0000,7510.05,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.154
SPXW,09:44,2026-07-09T13:44:00.000Z,7510.51,7510.51,7482.71,27.80,1.0000,7510.51,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1509
SPXW,09:45,2026-07-09T13:45:00.000Z,7509.47,7510.51,7482.71,27.80,0.9626,7510.51,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1398
SPXW,09:46,2026-07-09T13:46:00.000Z,7513.75,7513.75,7482.71,31.04,1.0000,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1428
SPXW,09:47,2026-07-09T13:47:00.000Z,7513.61,7513.75,7482.71,31.04,0.9955,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1456
SPXW,09:48,2026-07-09T13:48:00.000Z,7513.67,7513.75,7482.71,31.04,0.9974,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1462
SPXW,09:49,2026-07-09T13:49:00.000Z,7506.77,7513.75,7482.71,31.04,0.7751,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1288
SPXW,09:50,2026-07-09T13:50:00.000Z,7507.70,7513.75,7482.71,31.04,0.8051,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1307
SPXW,09:51,2026-07-09T13:51:00.000Z,7506.92,7513.75,7482.71,31.04,0.7800,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1261
SPXW,09:52,2026-07-09T13:52:00.000Z,7512.84,7513.75,7482.71,31.04,0.9707,7513.75,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1545
SPXW,09:53,2026-07-09T13:53:00.000Z,7515.51,7515.51,7482.71,32.80,1.0000,7515.51,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1598
SPXW,09:54,2026-07-09T13:54:00.000Z,7517.25,7517.25,7482.71,34.54,1.0000,7517.25,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.167
SPXW,09:55,2026-07-09T13:55:00.000Z,7516.54,7517.25,7482.71,34.54,0.9794,7517.25,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1676
SPXW,09:56,2026-07-09T13:56:00.000Z,7518.66,7518.66,7482.71,35.95,1.0000,7518.66,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.1743
SPXW,09:57,2026-07-09T13:57:00.000Z,7516.43,7518.66,7482.71,35.95,0.9380,7518.66,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.2632
SPXW,09:58,2026-07-09T13:58:00.000Z,7516.24,7518.66,7482.71,35.95,0.9327,7518.66,7482.71,7481.46,7503.85,7423.36,7550,pika,above,0.2522
