ticker,et,ts,spot,day_hi,day_lo,range_sofar,pos_in_range,or_hi,or_lo,prior_close,prior_high,prior_low,king,king_sign,king_side,king_share
SPXW,09:30,2026-07-13T13:30:00.000Z,7575.39,7575.39,7575.39,0.00,0.5000,7575.39,7575.39,7575.38,7579.36,7522.10,7600,barney,above,0.1866
SPXW,09:31,2026-07-13T13:31:00.000Z,7554.72,7575.39,7554.72,20.67,0.0000,7575.39,7554.72,7575.38,7579.36,7522.10,7495,pika,below,0.1185
SPXW,09:32,2026-07-13T13:32:00.000Z,7561.80,7575.39,7554.72,20.67,0.3425,7575.39,7554.72,7575.38,7579.36,7522.10,7495,pika,below,0.097
SPXW,09:33,2026-07-13T13:33:00.000Z,7561.33,7575.39,7554.72,20.67,0.3198,7575.39,7554.72,7575.38,7579.36,7522.10,7495,pika,below,0.1033
SPXW,09:34,2026-07-13T13:34:00.000Z,7557.43,7575.39,7554.72,20.67,0.1311,7575.39,7554.72,7575.38,7579.36,7522.10,7495,pika,below,0.1083
SPXW,09:35,2026-07-13T13:35:00.000Z,7559.80,7575.39,7554.72,20.67,0.2458,7575.39,7554.72,7575.38,7579.36,7522.10,7560,pika,at,0.119
SPXW,09:36,2026-07-13T13:36:00.000Z,7561.25,7575.39,7554.72,20.67,0.3159,7575.39,7554.72,7575.38,7579.36,7522.10,7560,pika,at,0.1181
SPXW,09:37,2026-07-13T13:37:00.000Z,7559.43,7575.39,7554.72,20.67,0.2279,7575.39,7554.72,7575.38,7579.36,7522.10,7560,pika,at,0.1203
SPXW,09:38,2026-07-13T13:38:00.000Z,7556.68,7575.39,7554.72,20.67,0.0948,7575.39,7554.72,7575.38,7579.36,7522.10,7560,pika,at,0.1165
SPXW,09:39,2026-07-13T13:39:00.000Z,7559.95,7575.39,7554.72,20.67,0.2530,7575.39,7554.72,7575.38,7579.36,7522.10,7560,pika,at,0.1243
SPXW,09:40,2026-07-13T13:40:00.000Z,7558.07,7575.39,7554.72,20.67,0.1621,7575.39,7554.72,7575.38,7579.36,7522.10,7560,pika,at,0.1579
SPXW,09:41,2026-07-13T13:41:00.000Z,7550.69,7575.39,7550.69,24.70,0.0000,7575.39,7550.69,7575.38,7579.36,7522.10,7560,pika,above,0.134
SPXW,09:42,2026-07-13T13:42:00.000Z,7553.04,7575.39,7550.69,24.70,0.0951,7575.39,7550.69,7575.38,7579.36,7522.10,7560,pika,above,0.1339
SPXW,09:43,2026-07-13T13:43:00.000Z,7553.62,7575.39,7550.69,24.70,0.1186,7575.39,7550.69,7575.38,7579.36,7522.10,7560,pika,above,0.14
SPXW,09:44,2026-07-13T13:44:00.000Z,7551.71,7575.39,7550.69,24.70,0.0413,7575.39,7550.69,7575.38,7579.36,7522.10,7560,pika,above,0.1271
